metric_name,metric_value,scenario,n,salary,i
twr,0.1050979144542239,iis,15,200000,3
pension,1985.7747832590092,iis,15,200000,3
kz,0.11914648699554056,iis,15,200000,3
savings,411782.16788103466,iis,15,200000,4
roi,1.0103065200538888,iis,15,200000,4
irr,0.08393820291120146,iis,15,200000,4
twr,0.11002916946647945,iis,15,200000,4
pension,1520.0130224801674,iis,15,200000,4
kz,0.09120078134881006,iis,15,200000,4
savings,246913.2054039495,iis,15,200000,5
roi,0.20542185997322795,iis,15,200000,5
irr,0.02321242090125364,iis,15,200000,5
twr,0.04219092278368208,iis,15,200000,5
pension,911.4316182451894,iis,15,200000,5
kz,0.05468589709471137,iis,15,200000,5
savings,358922.5568189014,iis,15,200000,6
roi,0.7522476990210674,iis,15,200000,6
irr,0.06795952040139053,iis,15,200000,6
twr,0.07107862246352736,iis,15,200000,6
pension,1324.892146821239,iis,15,200000,6
kz,0.07949352880927435,iis,15,200000,6
savings,735913.0248085707,iis,15,200000,7
roi,2.5927023250619636,iis,15,200000,7
irr,0.149643662675768,iis,15,200000,7
twr,0.1414256647705201,iis,15,200000,7
pension,2716.478440234364,iis,15,200000,7
kz,0.16298870641406185,iis,15,200000,7
savings,602748.5163252315,iis,15,200000,8
roi,1.9425977296605228,iis,15,200000,8
irr,0.1273233896674577,iis,15,200000,8
twr,0.1196450975581349,iis,15,200000,8
pension,2224.927802992287,iis,15,200000,8
kz,0.13349566817953723,iis,15,200000,8
savings,194445.98691156274,iis,15,200000,9
roi,-0.050721313897305616,iis,15,200000,9
irr,-0.006592001342349274,iis,15,200000,9
twr,0.010118840492782999,iis,15,200000,9
pension,717.7591827142257,iis,15,200000,9
kz,0.04306555096285355,iis,15,200000,9
savings,112066.33973972597,iis,15,50000,0
roi,1.1884162164344305,iis,15,50000,0
irr,0.09371281691553568,iis,15,50000,0
twr,0.10588233167180006,iis,15,50000,0
pension,413.6708897877352,iis,15,50000,0
kz,0.09928101354905645,iis,15,50000,0
savings,56981.7818387021,iis,15,50000,1
roi,0.11273247352202254,iis,15,50000,1
irr,0.013352954619420876,iis,15,50000,1
twr,0.02202945416213331,iis,15,50000,1
pension,210.33705972419358,iis,15,50000,1
kz,0.05048089433380647,iis,15,50000,1
savings,159514.94540745817,iis,15,50000,2
roi,2.1149861243267547,iis,15,50000,2
irr,0.13371300247234297,iis,15,50000,2
twr,0.1388154443480636,iis,15,50000,2
pension,588.8181014424072,iis,15,50000,2
kz,0.14131634434617774,iis,15,50000,2
savings,136586.3512788855,iis,15,50000,3
roi,1.6672396615838074,iis,15,50000,3
irr,0.11624625229002983,iis,15,50000,3
twr,0.11789151836754796,iis,15,50000,3
pension,504.1816980693947,iis,15,50000,3
kz,0.12100360753665475,iis,15,50000,3
savings,70856.08162113892,iis,15,50000,4
roi,0.3836679096759549,iis,15,50000,4
irr,0.0399491007964099,iis,15,50000,4
twr,0.07040434963370568,iis,15,50000,4
pension,261.5513132593064,iis,15,50000,4
kz,0.06277231518223356,iis,15,50000,4
savings,53250.960844819514,iis,15,50000,5
roi,0.039877509376776664,iis,15,50000,5
irr,0.004914540479519225,iis,15,50000,5
twr,0.02493706712703614,iis,15,50000,5
pension,196.5654665432031,iis,15,50000,5
kz,0.047175711970368746,iis,15,50000,5
savings,75847.92544160911,iis,15,50000,6
roi,0.4811479557986042,iis,15,50000,6
irr,0.0481022005613061,iis,15,50000,6
twr,0.044181935558671226,iis,15,50000,6
pension,279.9777246125391,iis,15,50000,6
kz,0.06719465390700939,iis,15,50000,6
savings,135523.3659054274,iis,15,50000,7
roi,1.6464818280138787,iis,15,50000,7
irr,0.11536243660730983,iis,15,50000,7
twr,0.08179009964669337,iis,15,50000,7
pension,500.2578962722536,iis,15,50000,7
kz,0.12006189510534089,iis,15,50000,7
savings,118043.92223237011,iis,15,50000,8
roi,1.3051456330671019,iis,15,50000,8
irr,0.09966283315091151,iis,15,50000,8
twr,0.13907359079746806,iis,15,50000,8
pension,435.7359619071125,iis,15,50000,8
kz,0.104576630857707,iis,15,50000,8
savings,76484.00743015145,iis,15,50000,9
roi,0.4935692782219194,iis,15,50000,9
irr,0.04909772585157923,iis,15,50000,9
twr,0.047745367511696335,iis,15,50000,9
pension,282.32569638345063,iis,15,50000,9
kz,0.06775816713202816,iis,15,50000,9
savings,224132.67947945194,iis,15,100000,0
roi,1.1884162164344305,iis,15,100000,0
irr,0.09371281691553568,iis,15,100000,0
twr,0.10588233167180006,iis,15,100000,0
pension,827.3417795754704,iis,15,100000,0
kz,0.09928101354905645,iis,15,100000,0
savings,113963.5636774042,iis,15,100000,1
roi,0.11273247352202254,iis,15,100000,1
irr,0.013352954619420876,iis,15,100000,1
twr,0.02202945416213331,iis,15,100000,1
